"address","parcel","sample_date","excavation_date","remediation_status","address_omaha"
"4117 CHARLES ST","1925600000",2015-01-28,"2021-05-28","remediated","4117 CHARLES ST Omaha, NE"
"4206 ORCHARD LA","1925640000",2005-11-04,"not remediated","not remediated","4206 ORCHARD LA Omaha, NE"
"4114 CHARLES ST","1925700000",2004-06-14,"not remediated","not remediated","4114 CHARLES ST Omaha, NE"
"1918 N 36 ST","1925720125",2004-08-23,"not remediated","not remediated","1918 N 36 ST Omaha, NE"
"3876 FRANKLIN ST","1925720200",2006-01-03,"not remediated","not remediated","3876 FRANKLIN ST Omaha, NE"
"3644 PARKER ST","1925720236",2001-06-07,"not remediated","not remediated","3644 PARKER ST Omaha, NE"
"3830 CHARLES ST","1925720270",2013-11-13,"not remediated","not remediated","3830 CHARLES ST Omaha, NE"
"4243 D ST","1925790000",2014-04-18,"not remediated","not remediated","4243 D ST Omaha, NE"
"4262 E ST","1925820000",2003-09-04,"not remediated","not remediated","4262 E ST Omaha, NE"
"4254 E ST","1925830000",2006-09-21,"not remediated","not remediated","4254 E ST Omaha, NE"
"4244 E ST","1925850000",2003-09-03,"not remediated","not remediated","4244 E ST Omaha, NE"
"4236 E ST","1925870000",2014-04-17,"not remediated","not remediated","4236 E ST Omaha, NE"
"4224 E ST","1925890000",2004-07-07,"not remediated","not remediated","4224 E ST Omaha, NE"
"4215 E ST","1925990000",2003-09-03,"not remediated","not remediated","4215 E ST Omaha, NE"
"4225 E ST","1926020000",2004-07-14,"not remediated","not remediated","4225 E ST Omaha, NE"
"4233 E ST","1926040000",2004-07-08,"2006-08-23","remediated","4233 E ST Omaha, NE"
"4251 E ST","1926070000",2006-07-13,"not remediated","not remediated","4251 E ST Omaha, NE"
"4263 E ST","1926100000",2008-01-15,"not remediated","not remediated","4263 E ST Omaha, NE"
"4476 F ST","1926120001",2004-08-24,"not remediated","not remediated","4476 F ST Omaha, NE"
"4464 F ST","1926150004",2008-08-08,"not remediated","not remediated","4464 F ST Omaha, NE"
"4460 F ST","1926160000",2008-04-25,"not remediated","not remediated","4460 F ST Omaha, NE"
"4232 F ST","1926220000",2003-09-17,"not remediated","not remediated","4232 F ST Omaha, NE"
"4214 F ST","1926260000",2003-09-16,"not remediated","not remediated","4214 F ST Omaha, NE"
"4917 S 42 ST","1926320000",2004-05-21,"2014-09-11","remediated","4917 S 42 ST Omaha, NE"
"4132 ORCHARD AV","1926380000",2003-12-16,"not remediated","not remediated","4132 ORCHARD AV Omaha, NE"
"4979 S 42 ST","1926470002",2011-04-07,"2012-06-14","remediated","4979 S 42 ST Omaha, NE"
"4976 S 41 AV","1926520002",2009-05-05,"not remediated","not remediated","4976 S 41 AV Omaha, NE"
"5018 S 41 ST","1926730000",2011-04-27,"not remediated","not remediated","5018 S 41 ST Omaha, NE"
"5017 S 41 AV","1926770000",2003-12-16,"not remediated","not remediated","5017 S 41 AV Omaha, NE"
"4988 S 41 AV","1926840000",2006-05-31,"not remediated","not remediated","4988 S 41 AV Omaha, NE"
"5018 S 41 AV","1926890000",2005-01-13,"not remediated","not remediated","5018 S 41 AV Omaha, NE"
"5033 S 42 ST","1926940000",2003-12-22,"not remediated","not remediated","5033 S 42 ST Omaha, NE"
"5029 S 42 ST","1926950000",2004-12-17,"not remediated","not remediated","5029 S 42 ST Omaha, NE"
"5025 S 42 ST","1926960000",2018-10-02,"2020-06-18","remediated","5025 S 42 ST Omaha, NE"
"5005 S 42 ST","1927010000",2004-01-07,"not remediated","not remediated","5005 S 42 ST Omaha, NE"
"5109 S 42 ST","1927110002",2003-11-21,"not remediated","not remediated","5109 S 42 ST Omaha, NE"
"3259 POLK ST","1927150000",2014-05-06,"not remediated","not remediated","3259 POLK ST Omaha, NE"
"3239 POLK ST","1927190002",2008-08-20,"2010-05-11","remediated","3239 POLK ST Omaha, NE"
"3206 HARRISON ST","1927320010",2008-07-09,"not remediated","not remediated","3206 HARRISON ST Omaha, NE"
"3222 HARRISON ST","1927350000",2004-10-22,"not remediated","not remediated","3222 HARRISON ST Omaha, NE"
"3226 HARRISON ST","1927360000",2004-12-02,"not remediated","not remediated","3226 HARRISON ST Omaha, NE"
"3262 HARRISON ST","1927420000",2004-10-22,"not remediated","not remediated","3262 HARRISON ST Omaha, NE"
"3263 DREXEL ST","1927430000",2004-10-28,"not remediated","not remediated","3263 DREXEL ST Omaha, NE"
"1005 S 35 AV","0933910000",2004-08-25,"2005-10-26","remediated","1005 S 35 AV Omaha, NE"
"841 S 35 AV","0933940000",2004-08-30,"2011-05-09","remediated","841 S 35 AV Omaha, NE"
"838 S 35 ST","0933980000",2006-04-25,"not remediated","not remediated","838 S 35 ST Omaha, NE"
"3511 MASON ST","0934010000",2003-11-12,"not remediated","not remediated","3511 MASON ST Omaha, NE"
"3501 MASON ST","0934030000",2014-03-06,"not remediated","not remediated","3501 MASON ST Omaha, NE"
"1020 S 35 ST","0934070002",2004-08-17,"not remediated","not remediated","1020 S 35 ST Omaha, NE"
"1036 S 35 ST","0934100000",2004-09-30,"not remediated","not remediated","1036 S 35 ST Omaha, NE"
"825 N 45 ST","0934250000",2008-09-16,"not remediated","not remediated","825 N 45 ST Omaha, NE"
"807 N 45 ST","0934270000",2003-12-02,"not remediated","not remediated","807 N 45 ST Omaha, NE"
"671 N 45 ST","0934290000",2006-01-04,"not remediated","not remediated","671 N 45 ST Omaha, NE"
"621 N 45 ST","0934320002",2004-08-06,"not remediated","not remediated","621 N 45 ST Omaha, NE"
"615 N 45 ST","0934360000",2003-09-30,"not remediated","not remediated","615 N 45 ST Omaha, NE"
"613 N 45 ST","0934370000",2003-09-29,"2010-07-20","remediated","613 N 45 ST Omaha, NE"
"4420 CALIFORNIA ST","0934410000",2003-09-18,"not remediated","not remediated","4420 CALIFORNIA ST Omaha, NE"
"2730 S 12 ST","0934620000",2006-05-01,"not remediated","not remediated","2730 S 12 ST Omaha, NE"
"2736 S 12 ST","0934640000",2003-06-16,"2010-09-08","remediated","2736 S 12 ST Omaha, NE"
"2748 S 12 ST","0934670000",1999-07-14,"2009-07-29","remediated","2748 S 12 ST Omaha, NE"
"2760 S 12 ST","0934700000",2002-10-21,"not remediated","not remediated","2760 S 12 ST Omaha, NE"
"2764 S 12 ST","0934710000",1999-07-19,"2002-09-05","remediated","2764 S 12 ST Omaha, NE"
"2780 S 12 ST","0934740000",2005-07-06,"2009-10-21","remediated","2780 S 12 ST Omaha, NE"
"2771 S 13 ST","0934790000",2003-05-20,"not remediated","not remediated","2771 S 13 ST Omaha, NE"
"2747 S 13 ST","0934870000",2014-04-07,"not remediated","not remediated","2747 S 13 ST Omaha, NE"
"2733 S 12 ST","0934920000",2008-05-21,"not remediated","not remediated","2733 S 12 ST Omaha, NE"
"2749 S 12 ST","0934960000",2002-10-21,"not remediated","not remediated","2749 S 12 ST Omaha, NE"
"2771 S 12 ST","0935020000",1999-07-14,"2010-07-13","remediated","2771 S 12 ST Omaha, NE"
"1126 FREDERICK ST","0935050000",1999-06-22,"2013-08-01","remediated","1126 FREDERICK ST Omaha, NE"
"2774 S 11 ST","0935090000",2006-01-10,"not remediated","not remediated","2774 S 11 ST Omaha, NE"
"2769 S 11 ST","0935180002",2009-05-21,"not remediated","not remediated","2769 S 11 ST Omaha, NE"
"308 S 53 ST","0937330000",2008-12-18,"not remediated","not remediated","308 S 53 ST Omaha, NE"
"313 S 54 ST","0937450002",2009-07-13,"not remediated","not remediated","313 S 54 ST Omaha, NE"
"310 S 54 ST","0937540000",2008-11-20,"not remediated","not remediated","310 S 54 ST Omaha, NE"
"312 S 54 ST","0937550000",2009-07-22,"not remediated","not remediated","312 S 54 ST Omaha, NE"
"3109 W ST","0937660000",2008-07-09,"not remediated","not remediated","3109 W ST Omaha, NE"
"3136 X ST","0937740000",2003-11-12,"not remediated","not remediated","3136 X ST Omaha, NE"
"3121 X ST","0937920002",2003-12-08,"not remediated","not remediated","3121 X ST Omaha, NE"
"3211 X ST","0938050000",2003-12-08,"not remediated","not remediated","3211 X ST Omaha, NE"
"3221 X ST","0938070000",2004-10-28,"not remediated","not remediated","3221 X ST Omaha, NE"
"3316 Y ST","0938190000",2004-11-11,"2010-09-30","remediated","3316 Y ST Omaha, NE"
"3311 W ST","0938390002",2004-10-26,"not remediated","not remediated","3311 W ST Omaha, NE"
"3323 W ST","0938410000",2007-09-25,"not remediated","not remediated","3323 W ST Omaha, NE"
"3213 W ST","0938510000",2004-11-03,"2009-07-21","remediated","3213 W ST Omaha, NE"
"5824 S 32 ST","0938580002",2003-11-12,"not remediated","not remediated","5824 S 32 ST Omaha, NE"
"4539 N 17 ST","0938830002",2004-06-15,"not remediated","not remediated","4539 N 17 ST Omaha, NE"
"4543 N 17 ST","0938840000",2007-10-05,"not remediated","not remediated","4543 N 17 ST Omaha, NE"
"4727 N 17 ST","0938940000",2005-01-14,"not remediated","not remediated","4727 N 17 ST Omaha, NE"
"4748 N 17 ST","0939060000",2014-05-19,"not remediated","not remediated","4748 N 17 ST Omaha, NE"
"4744 N 17 ST","0939070000",2008-12-05,"2012-06-22","remediated","4744 N 17 ST Omaha, NE"
"4611 N 18 ST","0939250000",2005-08-25,"not remediated","not remediated","4611 N 18 ST Omaha, NE"
"1723 FOWLER AV","0939290002",2003-12-07,"not remediated","not remediated","1723 FOWLER AV Omaha, NE"
"4719 N 18 ST","0939390000",2008-12-08,"not remediated","not remediated","4719 N 18 ST Omaha, NE"
"4718 N 18 ST","0939520002",2003-12-03,"not remediated","not remediated","4718 N 18 ST Omaha, NE"
"4717 N 19 ST","0939680000",2006-05-30,"not remediated","not remediated","4717 N 19 ST Omaha, NE"
"2715 S 17 ST","0939820001",2004-01-12,"2010-09-29","remediated","2715 S 17 ST Omaha, NE"
"1610 ELM ST","0939850000",2003-08-06,"not remediated","not remediated","1610 ELM ST Omaha, NE"
"1611 ELM ST","0939920000",2011-04-14,"not remediated","not remediated","1611 ELM ST Omaha, NE"
"3412 BOYD ST","0922020002",2005-01-13,"not remediated","not remediated","3412 BOYD ST Omaha, NE"
"4207 BINNEY ST","0900020000",2003-08-11,"not remediated","not remediated","4207 BINNEY ST Omaha, NE"
"4253 BINNEY ST","0900070000",2006-06-02,"not remediated","not remediated","4253 BINNEY ST Omaha, NE"
"4265 BINNEY ST","0900100000",2004-01-20,"not remediated","not remediated","4265 BINNEY ST Omaha, NE"
"4269 BINNEY ST","0900110006",2006-06-20,"not remediated","not remediated","4269 BINNEY ST Omaha, NE"
"4303 BINNEY ST","0900140000",2003-11-18,"2009-09-10","remediated","4303 BINNEY ST Omaha, NE"
"4323 BINNEY ST","0900200000",2004-08-27,"2011-05-03","remediated","4323 BINNEY ST Omaha, NE"
"4335 BINNEY ST","0900230000",2004-09-03,"2011-04-05","remediated","4335 BINNEY ST Omaha, NE"
"2911 N 45 ST","0900270000",2004-08-31,"not remediated","not remediated","2911 N 45 ST Omaha, NE"
"4216 BINNEY ST","0900310000",2004-08-31,"not remediated","not remediated","4216 BINNEY ST Omaha, NE"
"4304 BINNEY ST","0900420000",2004-08-31,"2015-07-08","remediated","4304 BINNEY ST Omaha, NE"
"4328 BINNEY ST","0900480000",2004-08-30,"2010-04-22","remediated","4328 BINNEY ST Omaha, NE"
"1317 S 4 ST","0900880000",2003-08-20,"2005-10-31","remediated","1317 S 4 ST Omaha, NE"
"415 POPPLETON AV","0900990000",2006-05-23,"2012-05-05","remediated","415 POPPLETON AV Omaha, NE"
"1303 S 5 ST","0901010000",2005-07-12,"2011-09-06","remediated","1303 S 5 ST Omaha, NE"
"1313 S 5 ST","0901070003",1999-09-07,"2012-07-25","remediated","1313 S 5 ST Omaha, NE"
"402 WILLIAM ST","0901150000",2005-06-22,"2010-05-21","remediated","402 WILLIAM ST Omaha, NE"
"515 POPPLETON AV","0901200000",1999-08-23,"2002-09-06","remediated","515 POPPLETON AV Omaha, NE"
"1309 S 6 ST","0901240000",2002-10-30,"not remediated","not remediated","1309 S 6 ST Omaha, NE"
"1314 S 5 ST","0901320000",2013-05-29,"2012-09-11","remediated","1314 S 5 ST Omaha, NE"
"515 WILLIAM ST","0901390000",2006-05-04,"2007-07-30","remediated","515 WILLIAM ST Omaha, NE"
"514 WOOLWORTH AV","0901490000",2003-10-04,"2024-06-18","remediated","514 WOOLWORTH AV Omaha, NE"
"422 WOOLWORTH AV","0901660000",2002-10-14,"not remediated","not remediated","422 WOOLWORTH AV Omaha, NE"
"311 WILLIAM ST","0901720002",2005-08-16,"2013-05-06","remediated","311 WILLIAM ST Omaha, NE"
"313 WILLIAM ST","0901760000",2003-11-06,"2015-08-29","remediated","313 WILLIAM ST Omaha, NE"
"1413 S 4 ST","0901810000",2003-08-26,"2009-10-15","remediated","1413 S 4 ST Omaha, NE"
"312 1/2 PINE ST","0902320000",2006-04-28,"not remediated","not remediated","312 1/2 PINE ST Omaha, NE"
"423 WOOLWORTH AV","0902420000",2003-10-08,"2012-05-30","remediated","423 WOOLWORTH AV Omaha, NE"
"414 PINE ST","0902470000",2003-10-03,"not remediated","not remediated","414 PINE ST Omaha, NE"
"720 HICKORY ST","0902610000",2005-08-16,"2023-07-21","remediated","720 HICKORY ST Omaha, NE"
"702 HICKORY ST","0902670000",1999-06-19,"2011-07-07","remediated","702 HICKORY ST Omaha, NE"
"307 PINE ST","0902810000",2008-07-15,"2010-05-13","remediated","307 PINE ST Omaha, NE"
"309 PINE ST","0902820002",2003-10-15,"not remediated","not remediated","309 PINE ST Omaha, NE"
"1710 S 6 ST","0903000000",2003-09-29,"2009-06-29","remediated","1710 S 6 ST Omaha, NE"
"616 CENTER ST","0903110000",2008-07-16,"not remediated","not remediated","616 CENTER ST Omaha, NE"
"1720 S 6 ST","0903140000",2004-08-26,"2015-09-15","remediated","1720 S 6 ST Omaha, NE"
"705 HICKORY ST","0903150000",2004-09-14,"not remediated","not remediated","705 HICKORY ST Omaha, NE"
"1722 S 7 ST","0903250000",2012-06-11,"not remediated","not remediated","1722 S 7 ST Omaha, NE"
"3145 S 56 ST","2006120001",1999-04-10,"not remediated","not remediated","3145 S 56 ST Omaha, NE"
"4811 PACIFIC ST","2007150000",2020-10-05,"not remediated","not remediated","4811 PACIFIC ST Omaha, NE"
"1320 N 52 ST","2007790000",2008-12-15,"not remediated","not remediated","1320 N 52 ST Omaha, NE"
"2218 N 29 ST","0805790302",2004-09-09,"not remediated","not remediated","2218 N 29 ST Omaha, NE"
"2304 N 29 ST","2008430000",2003-11-06,"not remediated","not remediated","2304 N 29 ST Omaha, NE"
"2308 N 29 ST","2008440000",2003-11-06,"2011-08-02","remediated","2308 N 29 ST Omaha, NE"
"5507 HOWARD ST","2008550000",2009-07-08,"2010-09-20","remediated","5507 HOWARD ST Omaha, NE"
"5804 S 13 ST","2009380004",2006-06-12,"not remediated","not remediated","5804 S 13 ST Omaha, NE"
"5820 S 13 ST","2009380012",2003-12-09,"not remediated","not remediated","5820 S 13 ST Omaha, NE"
"5838 S 13 ST","2009430000",2004-11-22,"not remediated","not remediated","5838 S 13 ST Omaha, NE"
"5848 S 13 ST","2009450002",2008-07-08,"not remediated","not remediated","5848 S 13 ST Omaha, NE"
"5975 S 14 ST","2009480000",2006-06-28,"not remediated","not remediated","5975 S 14 ST Omaha, NE"
"5819 S 14 ST","2009540002",1999-04-13,"not remediated","not remediated","5819 S 14 ST Omaha, NE"
"5807 S 14 ST","2009580000",2003-12-15,"not remediated","not remediated","5807 S 14 ST Omaha, NE"
"5803 S 14 ST","2009600000",2008-09-10,"not remediated","not remediated","5803 S 14 ST Omaha, NE"
"5818 S 14 ST","2009620000",2005-09-27,"not remediated","not remediated","5818 S 14 ST Omaha, NE"
"1414 Y ST","2009730000",2004-01-21,"not remediated","not remediated","1414 Y ST Omaha, NE"
"5901 S 15 ST","2009820000",2003-12-16,"not remediated","not remediated","5901 S 15 ST Omaha, NE"
"5829 S 15 ST","2009830002",2004-11-10,"not remediated","not remediated","5829 S 15 ST Omaha, NE"
"5811 S 15 ST","2009880000",2008-11-14,"2009-09-11","remediated","5811 S 15 ST Omaha, NE"
"1515 W ST","2009920000",2004-01-19,"not remediated","not remediated","1515 W ST Omaha, NE"
"1527 W ST","2009950000",2004-12-01,"2010-03-22","remediated","1527 W ST Omaha, NE"
"1532 BERRY AV","2010030000",2004-01-19,"not remediated","not remediated","1532 BERRY AV Omaha, NE"
"1518 BERRY AV","2010040000",2004-01-08,"2010-03-16","remediated","1518 BERRY AV Omaha, NE"
"5816 S 15 ST","2010090000",2008-12-16,"2010-03-23","remediated","5816 S 15 ST Omaha, NE"
"1503 BERRY AV","2010120000",2004-01-28,"not remediated","not remediated","1503 BERRY AV Omaha, NE"
"1522 Y ST","2010270002",2008-01-10,"2010-03-16","remediated","1522 Y ST Omaha, NE"
"1514 Y ST","2010280000",2003-12-16,"not remediated","not remediated","1514 Y ST Omaha, NE"
"5806 S 15 ST","2010320040",2004-12-13,"2010-04-30","remediated","5806 S 15 ST Omaha, NE"
"2706 S 41 ST","2010340000",2015-03-11,"not remediated","not remediated","2706 S 41 ST Omaha, NE"
"2726 S 41 ST","2010390000",2003-10-27,"not remediated","not remediated","2726 S 41 ST Omaha, NE"
"2743 S 41 ST","2010450000",2004-07-19,"not remediated","not remediated","2743 S 41 ST Omaha, NE"
"2723 S 41 ST","2010500000",2003-10-20,"not remediated","not remediated","2723 S 41 ST Omaha, NE"
"2707 S 41 ST","2010530000",2003-10-21,"not remediated","not remediated","2707 S 41 ST Omaha, NE"
"2503 S 20 AV","2010590000",2006-07-06,"2012-10-10","remediated","2503 S 20 AV Omaha, NE"
"5716 N 24 ST","2010650000",2005-09-13,"not remediated","not remediated","5716 N 24 ST Omaha, NE"
"2415 HIMEBAUGH AV","2010670000",2013-07-10,"not remediated","not remediated","2415 HIMEBAUGH AV Omaha, NE"
"5718 N 25 AV","2010790000",2003-11-18,"2010-08-21","remediated","5718 N 25 AV Omaha, NE"
"2523 HIMEBAUGH AV","2010820000",2006-05-22,"2011-10-28","remediated","2523 HIMEBAUGH AV Omaha, NE"
"2589 HIMEBAUGH AV","2010870000",2008-01-11,"not remediated","not remediated","2589 HIMEBAUGH AV Omaha, NE"
"2516 S 8 ST","2010950000",2003-08-06,"not remediated","not remediated","2516 S 8 ST Omaha, NE"
"2531 S 9 ST","2011080000",2004-01-20,"2010-09-30","remediated","2531 S 9 ST Omaha, NE"
"3344 FOREST LAWN AV","2011510000",2003-12-22,"not remediated","not remediated","3344 FOREST LAWN AV Omaha, NE"
"1020 S 52 ST","2011730000",2016-10-06,"2017-11-10","remediated","1020 S 52 ST Omaha, NE"
"1054 S 52 ST","2011760000",2013-04-24,"2014-09-19","remediated","1054 S 52 ST Omaha, NE"
"3926 FLORENCE BD","2013040000",2004-09-09,"not remediated","not remediated","3926 FLORENCE BD Omaha, NE"
"3912 FLORENCE BD","2013080000",2009-05-19,"2015-07-18","remediated","3912 FLORENCE BD Omaha, NE"
"3901 N 21 ST","2013110002",2006-08-10,"not remediated","not remediated","3901 N 21 ST Omaha, NE"
"3921 N 21 ST","2013170000",1999-10-09,"not remediated","not remediated","3921 N 21 ST Omaha, NE"
"3239 DREXEL ST","1927460000",2014-05-27,"not remediated","not remediated","3239 DREXEL ST Omaha, NE"
"3235 DREXEL ST","1927500000",2004-10-21,"not remediated","not remediated","3235 DREXEL ST Omaha, NE"
"3204 POLK ST","1927600002",2003-11-17,"not remediated","not remediated","3204 POLK ST Omaha, NE"
"3212 POLK ST","1927610000",2004-10-20,"not remediated","not remediated","3212 POLK ST Omaha, NE"
"3228 POLK ST","1927640000",2004-10-29,"not remediated","not remediated","3228 POLK ST Omaha, NE"
"3236 POLK ST","1927660000",2004-10-28,"not remediated","not remediated","3236 POLK ST Omaha, NE"
"3244 POLK ST","1927690001",2004-06-15,"not remediated","not remediated","3244 POLK ST Omaha, NE"
"3260 POLK ST","1927720000",2008-09-24,"not remediated","not remediated","3260 POLK ST Omaha, NE"
"3253 MONROE ST","1927760000",2009-01-07,"not remediated","not remediated","3253 MONROE ST Omaha, NE"
"3245 MONROE ST","1927780000",2004-01-15,"not remediated","not remediated","3245 MONROE ST Omaha, NE"
"3237 MONROE ST","1927820004",2004-01-12,"not remediated","not remediated","3237 MONROE ST Omaha, NE"
"3208 DREXEL ST","1927910000",2003-12-04,"not remediated","not remediated","3208 DREXEL ST Omaha, NE"
"3248 DREXEL ST","1928010000",2004-11-16,"not remediated","not remediated","3248 DREXEL ST Omaha, NE"
"3253 MADISON ST","1928080000",2004-01-13,"not remediated","not remediated","3253 MADISON ST Omaha, NE"
"3235 MADISON ST","1928120000",2005-08-05,"not remediated","not remediated","3235 MADISON ST Omaha, NE"
"3219 MADISON ST","1928160000",2005-08-22,"not remediated","not remediated","3219 MADISON ST Omaha, NE"
"3202 MONROE ST","1928240004",2008-06-04,"not remediated","not remediated","3202 MONROE ST Omaha, NE"
"3248 MONROE ST","1928330000",2006-07-19,"not remediated","not remediated","3248 MONROE ST Omaha, NE"
